epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5326,1.07423,2.08271,1.39397,0.11952,0.19118,0.06046,0.04311,1.59072,4.35651,2.06794,0.000395402,0.000395402,0.000395402
2,51.5283,1.01888,0.92916,1.31369,0.65949,0.55147,0.54565,0.22447,2.1969,4.00006,3.0449,0.000795316,0.000795316,0.000795316
3,76.6476,1.06346,0.92892,1.32822,0.77998,0.80882,0.81261,0.52582,1.33613,1.5855,1.81006,0.00119488,0.00119488,0.00119488
4,101.563,1.00627,0.87073,1.30445,0.59383,0.58088,0.61231,0.36198,nan,nan,nan,0.00159384,0.00159384,0.00159384
5,126.341,1.04892,0.9113,1.34239,0.87571,0.68382,0.81706,0.51842,1.28632,2.00768,1.72115,0.00199194,0.00199194,0.00199194
6,151.151,1.01033,0.85019,1.30596,0.78522,0.77206,0.79533,0.37887,1.88527,1.7926,2.40142,0.00199458,0.00199458,0.00199458
7,175.99,0.9873,0.80565,1.27354,0.865,0.80147,0.83333,0.45367,1.68242,1.70602,1.93565,0.00199219,0.00199219,0.00199219
8,201.127,0.98241,0.79589,1.26938,0.93628,0.80147,0.86749,0.60791,1.17695,0.8744,1.55052,0.00198938,0.00198938,0.00198938
9,226.002,0.95705,0.76288,1.25967,0.88448,0.84451,0.8907,0.62939,1.13068,0.95713,1.39166,0.00198614,0.00198614,0.00198614
10,251.196,0.92827,0.75496,1.24244,0.92488,0.75,0.82796,0.66882,0.92187,0.86479,1.27354,0.00198246,0.00198246,0.00198246
11,276.953,0.91263,0.73715,1.23028,0.91487,0.80147,0.83562,0.42475,1.74912,1.12617,2.17794,0.00197837,0.00197837,0.00197837
12,302.943,0.90078,0.69532,1.20604,0.95217,0.87825,0.9293,0.59137,1.39335,0.86427,1.58912,0.00197384,0.00197384,0.00197384
13,328.657,0.91248,0.69889,1.22818,0.91053,0.875,0.90507,0.65851,1.01464,0.80401,1.29216,0.0019689,0.0019689,0.0019689
14,354.479,0.86275,0.68099,1.205,0.84751,0.81731,0.86638,0.71259,0.73627,0.79889,1.12996,0.00196353,0.00196353,0.00196353
15,380.144,0.83792,0.65407,1.19964,0.94292,0.86029,0.90585,0.70279,0.88993,0.66022,1.28472,0.00195775,0.00195775,0.00195775
16,405.848,0.8096,0.65806,1.1807,0.91349,0.85407,0.89693,0.67386,0.95437,0.72502,1.26937,0.00195155,0.00195155,0.00195155
17,431.624,0.7994,0.63901,1.15362,0.91745,0.89893,0.92257,0.76784,0.70253,0.59005,1.0758,0.00194493,0.00194493,0.00194493
18,457.677,0.77465,0.6136,1.1415,0.96655,0.84992,0.91258,0.76641,0.69057,0.6954,1.11085,0.00193791,0.00193791,0.00193791
19,483.37,0.78667,0.61448,1.16213,0.92529,0.91065,0.93614,0.75432,0.79014,0.59114,1.14044,0.00193048,0.00193048,0.00193048
20,509.355,0.77685,0.63058,1.14631,0.94176,0.86029,0.90765,0.76954,0.69174,0.60813,1.08932,0.00192264,0.00192264,0.00192264
21,535.898,0.73791,0.58446,1.12397,0.91913,0.89706,0.93513,0.79171,0.6904,0.57715,1.09156,0.00191441,0.00191441,0.00191441
22,562.496,0.74218,0.60494,1.1317,0.97018,0.88235,0.93567,0.79295,0.59603,0.5477,1.01794,0.00190578,0.00190578,0.00190578
23,589.152,0.72321,0.57733,1.11775,0.94667,0.91176,0.92901,0.77618,0.66051,0.55659,1.0424,0.00189675,0.00189675,0.00189675
24,614.974,0.71216,0.56891,1.12069,0.93436,0.86765,0.89859,0.8013,0.51803,0.62402,0.9906,0.00188734,0.00188734,0.00188734
25,642.041,0.73715,0.56924,1.12718,0.9512,0.875,0.92056,0.80688,0.60529,0.56194,1.03352,0.00187754,0.00187754,0.00187754
26,668.65,0.72769,0.57919,1.12612,0.94882,0.88971,0.92663,0.77957,0.64913,0.53824,1.04996,0.00186737,0.00186737,0.00186737
27,694.789,0.68584,0.55252,1.09867,0.93737,0.88043,0.93459,0.80381,0.61257,0.53948,1.0298,0.00185681,0.00185681,0.00185681
28,720.559,0.70663,0.55097,1.11427,0.93995,0.86029,0.90586,0.80966,0.56162,0.57723,1.03942,0.00184588,0.00184588,0.00184588
29,748.012,0.70127,0.53945,1.10364,0.93607,0.86029,0.90329,0.79723,0.53339,0.70132,1.01661,0.00183459,0.00183459,0.00183459
30,777.135,0.69492,0.54052,1.10087,0.92914,0.90441,0.91067,0.8261,0.52075,0.58051,1.00752,0.00182294,0.00182294,0.00182294
31,803.139,0.70907,0.55106,1.11531,0.95269,0.92647,0.93978,0.82447,0.557,0.47884,1.00046,0.00181093,0.00181093,0.00181093
32,828.918,0.67771,0.52967,1.09284,0.94701,0.91987,0.93393,0.79409,0.66703,0.50467,1.04313,0.00179856,0.00179856,0.00179856
33,854.616,0.65804,0.5218,1.08395,0.95105,0.89706,0.93645,0.84202,0.49678,0.49658,0.96603,0.00178586,0.00178586,0.00178586
34,880.396,0.65428,0.52798,1.08607,0.95408,0.91665,0.93796,0.82383,0.53328,0.45071,0.97733,0.00177281,0.00177281,0.00177281
35,906.1,0.67812,0.52296,1.09285,0.95311,0.91176,0.93955,0.8512,0.50136,0.44704,0.96148,0.00175943,0.00175943,0.00175943
36,933.298,0.70072,0.52812,1.10656,0.9248,0.92647,0.92865,0.81571,0.5689,0.48775,1.01485,0.00174571,0.00174571,0.00174571
37,959.271,0.63859,0.51164,1.07538,0.96175,0.92445,0.93312,0.83878,0.51948,0.46122,0.95757,0.00173168,0.00173168,0.00173168
38,985.388,0.63817,0.49126,1.08041,0.96476,0.89706,0.92197,0.78429,0.63419,0.53968,1.01807,0.00171733,0.00171733,0.00171733
39,1011.77,0.6426,0.51673,1.07214,0.93113,0.92647,0.94155,0.79269,0.67843,0.49818,1.08999,0.00170267,0.00170267,0.00170267
40,1037.68,0.64882,0.51001,1.08338,0.93107,0.91912,0.9452,0.86788,0.46852,0.43648,0.95001,0.0016877,0.0016877,0.0016877
41,1063.89,0.63196,0.50488,1.06275,0.93861,0.88971,0.92638,0.84192,0.48665,0.51787,0.95967,0.00167244,0.00167244,0.00167244
42,1089.13,0.6229,0.49431,1.06976,0.95348,0.90441,0.93744,0.88418,0.40213,0.42874,0.91839,0.00165689,0.00165689,0.00165689
43,1114.36,0.62714,0.49698,1.07284,0.95859,0.91176,0.93626,0.84836,0.52137,0.49909,0.96804,0.00164105,0.00164105,0.00164105
44,1139.47,0.61416,0.48521,1.06049,0.94053,0.91176,0.93552,0.84119,0.48542,0.4994,0.99349,0.00162494,0.00162494,0.00162494
45,1164.91,0.61767,0.48721,1.05857,0.95847,0.92647,0.9428,0.84387,0.49138,0.46504,0.95109,0.00160855,0.00160855,0.00160855
46,1190.08,0.59532,0.47703,1.04809,0.9477,0.93277,0.94555,0.83166,0.58891,0.47899,1.01623,0.00159191,0.00159191,0.00159191
47,1215.31,0.61706,0.48886,1.06709,0.95874,0.91176,0.94611,0.87854,0.42184,0.4718,0.95354,0.00157501,0.00157501,0.00157501
48,1240.45,0.61951,0.49022,1.06884,0.9528,0.89706,0.94311,0.83884,0.53983,0.47405,0.99933,0.00155786,0.00155786,0.00155786
49,1265.82,0.59599,0.48034,1.05519,0.9548,0.932,0.94508,0.84908,0.49632,0.41236,0.95358,0.00154047,0.00154047,0.00154047
50,1291.4,0.56895,0.44444,1.03598,0.94633,0.90764,0.94522,0.8821,0.40931,0.42466,0.91028,0.00152285,0.00152285,0.00152285
51,1317.07,0.57247,0.45853,1.03377,0.94599,0.93382,0.94011,0.88203,0.42066,0.43862,0.93661,0.001505,0.001505,0.001505
52,1342.6,0.577,0.44985,1.04094,0.94766,0.9319,0.93822,0.86769,0.44554,0.40762,0.93386,0.00148694,0.00148694,0.00148694
53,1368.23,0.58027,0.46726,1.03857,0.96093,0.90417,0.93872,0.8943,0.38569,0.422,0.90472,0.00146866,0.00146866,0.00146866
54,1393.83,0.57263,0.45518,1.04164,0.96181,0.92586,0.94117,0.87934,0.40723,0.42572,0.922,0.00145019,0.00145019,0.00145019
55,1419.29,0.55671,0.44605,1.03946,0.95914,0.91912,0.93107,0.88359,0.39215,0.42146,0.92845,0.00143152,0.00143152,0.00143152
56,1447.84,0.57634,0.45535,1.04657,0.94436,0.92647,0.93656,0.86737,0.44247,0.43001,0.97144,0.00141267,0.00141267,0.00141267
57,1474.46,0.55825,0.44558,1.03163,0.93775,0.92647,0.93632,0.89271,0.38939,0.41501,0.91615,0.00139364,0.00139364,0.00139364
58,1501.07,0.56949,0.45048,1.03587,0.96179,0.92533,0.94349,0.86932,0.41776,0.40963,0.91413,0.00137444,0.00137444,0.00137444
59,1527.33,0.56045,0.44772,1.04557,0.94996,0.91176,0.94244,0.89467,0.37097,0.40142,0.89563,0.00135509,0.00135509,0.00135509
60,1553.23,0.53355,0.42526,1.01797,0.95384,0.91156,0.93184,0.88677,0.36779,0.42922,0.89679,0.00133558,0.00133558,0.00133558
61,1579.96,0.54782,0.43976,1.03179,0.94743,0.92768,0.93562,0.87027,0.4617,0.42537,0.93089,0.00131593,0.00131593,0.00131593
62,1606.01,0.54377,0.42107,1.0229,0.96205,0.93196,0.94961,0.86605,0.4694,0.42267,0.92685,0.00129614,0.00129614,0.00129614
63,1631.84,0.54793,0.42818,1.03425,0.95485,0.93304,0.94214,0.87479,0.41595,0.40272,0.93032,0.00127623,0.00127623,0.00127623
64,1658.2,0.54108,0.43945,1.02247,0.96713,0.91912,0.93497,0.89073,0.36107,0.42331,0.90614,0.0012562,0.0012562,0.0012562
65,1684.63,0.55358,0.43241,1.03786,0.9605,0.93382,0.9309,0.88088,0.39456,0.39949,0.91161,0.00123607,0.00123607,0.00123607
66,1711.28,0.53613,0.43093,1.01996,0.96567,0.92647,0.94526,0.89603,0.36219,0.37932,0.88578,0.00121583,0.00121583,0.00121583
67,1738.84,0.52808,0.419,1.02999,0.95485,0.93306,0.9311,0.89113,0.33994,0.39278,0.86213,0.00119551,0.00119551,0.00119551
68,1765.2,0.52713,0.40883,1.02288,0.95999,0.94118,0.94746,0.88657,0.39834,0.3426,0.91978,0.0011751,0.0011751,0.0011751
69,1791.48,0.52086,0.41609,1.0152,0.96196,0.93382,0.93666,0.88488,0.35109,0.35887,0.88762,0.00115462,0.00115462,0.00115462
70,1817.6,0.51697,0.40505,1.01226,0.96116,0.94118,0.94821,0.90263,0.34765,0.36129,0.87349,0.00113408,0.00113408,0.00113408
