epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1844.59,0.52808,0.40309,1.00558,0.96172,0.94118,0.94641,0.89264,0.34376,0.35383,0.89708,0.00111348,0.00111348,0.00111348
72,1870.75,0.5368,0.41426,1.02025,0.95513,0.93917,0.92949,0.88469,0.35829,0.37159,0.88753,0.00109284,0.00109284,0.00109284
73,1897.41,0.51235,0.40048,1.01158,0.9606,0.89625,0.94019,0.89433,0.35185,0.40344,0.9038,0.00107216,0.00107216,0.00107216
74,1923.74,0.5097,0.40194,1.00903,0.96209,0.93305,0.93398,0.89246,0.29951,0.34689,0.85389,0.00105146,0.00105146,0.00105146
75,1949.77,0.51109,0.40533,1.01027,0.96147,0.91735,0.93891,0.88863,0.37045,0.43808,0.9182,0.00103073,0.00103073,0.00103073
76,1976.31,0.51276,0.40347,1.0166,0.9551,0.93845,0.94564,0.88729,0.38345,0.39135,0.90899,0.00101,0.00101,0.00101
77,2004.91,0.50913,0.40859,1.01337,0.94964,0.92647,0.94622,0.89735,0.32633,0.35977,0.8888,0.000989267,0.000989267,0.000989267
78,2030.65,0.49621,0.39116,1.00668,0.95307,0.92647,0.94336,0.91035,0.32993,0.36175,0.88334,0.000968543,0.000968543,0.000968543
79,2056.98,0.48762,0.38948,1.00657,0.95096,0.93382,0.94786,0.91184,0.29642,0.35044,0.85533,0.000947837,0.000947837,0.000947837
80,2089.15,0.50139,0.38984,1.0146,0.96042,0.93382,0.92334,0.8923,0.31486,0.34356,0.87039,0.000927159,0.000927159,0.000927159
81,2117.69,0.48504,0.38077,1.00325,0.96291,0.91176,0.93581,0.9077,0.32085,0.37817,0.87495,0.000906517,0.000906517,0.000906517
82,2143.57,0.49157,0.39312,1.00472,0.96235,0.93976,0.9483,0.91383,0.31854,0.34991,0.8707,0.00088592,0.00088592,0.00088592
83,2175.7,0.48627,0.38629,1.0005,0.96129,0.94118,0.93718,0.91024,0.31093,0.35062,0.8584,0.000865378,0.000865378,0.000865378
84,2204.15,0.48768,0.38197,1.00699,0.96089,0.93382,0.95439,0.90926,0.38669,0.36133,0.88697,0.000844899,0.000844899,0.000844899
85,2230.09,0.4784,0.38445,0.99663,0.95487,0.93348,0.95194,0.90995,0.37341,0.36723,0.88002,0.000824492,0.000824492,0.000824492
86,2258.19,0.48222,0.3725,0.99583,0.96179,0.93382,0.93881,0.90575,0.31118,0.34388,0.86,0.000804167,0.000804167,0.000804167
87,2286.45,0.47869,0.3726,0.9971,0.95371,0.92647,0.94654,0.91752,0.33532,0.34355,0.8846,0.000783933,0.000783933,0.000783933
88,2314.83,0.49246,0.37875,1.01039,0.94606,0.90271,0.93649,0.90498,0.31847,0.40295,0.86747,0.000763797,0.000763797,0.000763797
89,2340.22,0.4808,0.37648,0.99673,0.95521,0.94082,0.94967,0.91999,0.2788,0.34346,0.84435,0.000743769,0.000743769,0.000743769
90,2372.4,0.48163,0.37234,1.00822,0.96195,0.94118,0.94348,0.91538,0.30229,0.33081,0.86579,0.000723859,0.000723859,0.000723859
91,2400.69,0.46599,0.35845,0.99015,0.95243,0.93382,0.95422,0.92298,0.30078,0.32785,0.86723,0.000704073,0.000704073,0.000704073
92,2427.33,0.4716,0.35594,0.98902,0.96142,0.93382,0.94501,0.91006,0.33609,0.35651,0.88878,0.000684422,0.000684422,0.000684422
93,2456.06,0.46061,0.36187,0.99218,0.96205,0.93196,0.95138,0.9181,0.29915,0.32382,0.87168,0.000664914,0.000664914,0.000664914
94,2484.8,0.47251,0.36397,0.99695,0.96232,0.93896,0.94913,0.90986,0.29672,0.34855,0.85713,0.000645557,0.000645557,0.000645557
95,2510.57,0.46553,0.36421,0.99521,0.95428,0.93382,0.94728,0.91828,0.29099,0.34862,0.84577,0.00062636,0.00062636,0.00062636
96,2538.71,0.45203,0.35137,0.9851,0.9621,0.94118,0.95462,0.92502,0.26361,0.34082,0.83804,0.000607331,0.000607331,0.000607331
97,2571.63,0.45756,0.34934,0.98606,0.9472,0.93382,0.94891,0.89244,0.34162,0.33993,0.86502,0.000588479,0.000588479,0.000588479
98,2600.13,0.45722,0.35577,0.98678,0.9613,0.93382,0.94547,0.91889,0.32,0.33817,0.84843,0.000569811,0.000569811,0.000569811
99,2626.24,0.44242,0.34883,0.97623,0.96152,0.93382,0.94426,0.91912,0.27932,0.33758,0.84262,0.000551337,0.000551337,0.000551337
100,2654.92,0.43423,0.35314,0.97703,0.96239,0.94066,0.94338,0.90527,0.30123,0.34922,0.85576,0.000533064,0.000533064,0.000533064
101,2683.31,0.4424,0.34904,0.98045,0.95386,0.93382,0.95217,0.92326,0.28499,0.34787,0.85256,0.000515,0.000515,0.000515
102,2709.26,0.45029,0.3512,0.98363,0.95393,0.94118,0.95553,0.91852,0.29951,0.34074,0.85883,0.000497153,0.000497153,0.000497153
103,2737.81,0.43585,0.33505,0.98017,0.9613,0.94118,0.95137,0.9259,0.28793,0.34982,0.85737,0.000479531,0.000479531,0.000479531
104,2763.72,0.45423,0.34636,0.9862,0.96237,0.94013,0.95355,0.92846,0.29549,0.34455,0.85392,0.000462142,0.000462142,0.000462142
105,2789.63,0.43536,0.34549,0.98881,0.96184,0.94853,0.94312,0.90932,0.3056,0.33953,0.84938,0.000444994,0.000444994,0.000444994
106,2816.19,0.42691,0.3198,0.97135,0.95554,0.94818,0.95229,0.92253,0.28655,0.33912,0.84489,0.000428093,0.000428093,0.000428093
107,2842.07,0.43845,0.34336,0.97924,0.96108,0.94853,0.94702,0.91663,0.28475,0.33109,0.84145,0.000411447,0.000411447,0.000411447
108,2867.98,0.43212,0.32657,0.98488,0.96144,0.93382,0.94775,0.91653,0.2957,0.34046,0.84546,0.000395064,0.000395064,0.000395064
109,2894.02,0.43123,0.32841,0.97591,0.96147,0.93382,0.94552,0.91972,0.26923,0.32277,0.83507,0.00037895,0.00037895,0.00037895
110,2920.14,0.42891,0.32851,0.97129,0.96238,0.94057,0.95079,0.92584,0.24904,0.31652,0.83012,0.000363114,0.000363114,0.000363114
111,2946.46,0.41996,0.31428,0.96575,0.96128,0.93382,0.94652,0.92761,0.25493,0.34042,0.83126,0.000347561,0.000347561,0.000347561
112,2972.44,0.41998,0.3263,0.96677,0.95372,0.93382,0.94461,0.92471,0.2536,0.33873,0.83305,0.000332298,0.000332298,0.000332298
113,2998.69,0.43334,0.33857,0.98177,0.96163,0.93382,0.94153,0.92251,0.25027,0.32096,0.828,0.000317333,0.000317333,0.000317333
114,3024.9,0.43265,0.3308,0.98168,0.95985,0.92647,0.94373,0.9227,0.23796,0.33216,0.82237,0.000302672,0.000302672,0.000302672
115,3050.61,0.41687,0.32141,0.96946,0.96157,0.93382,0.94068,0.92098,0.24893,0.33819,0.83194,0.000288321,0.000288321,0.000288321
116,3077.19,0.42314,0.32404,0.98199,0.96238,0.94061,0.94773,0.92679,0.241,0.29481,0.8246,0.000274287,0.000274287,0.000274287
117,3102.82,0.42492,0.32981,0.97266,0.96138,0.93382,0.95028,0.9219,0.25458,0.31024,0.83313,0.000260575,0.000260575,0.000260575
118,3128.05,0.40773,0.31417,0.96743,0.96097,0.93382,0.9518,0.92866,0.24789,0.28789,0.82715,0.000247192,0.000247192,0.000247192
119,3153.37,0.41294,0.30601,0.97052,0.96116,0.92647,0.94889,0.93027,0.23054,0.29302,0.82519,0.000234143,0.000234143,0.000234143
120,3178.65,0.41432,0.31666,0.96233,0.96057,0.92647,0.95144,0.92818,0.24976,0.29822,0.83275,0.000221435,0.000221435,0.000221435
121,3203.93,0.41792,0.32564,0.97168,0.96209,0.93295,0.95352,0.93498,0.23099,0.29191,0.82241,0.000209073,0.000209073,0.000209073
122,3229.2,0.41415,0.31452,0.97089,0.96186,0.94118,0.95411,0.93147,0.25699,0.27882,0.82553,0.000197062,0.000197062,0.000197062
123,3254.4,0.40816,0.31011,0.96742,0.9609,0.93382,0.95041,0.93066,0.23809,0.28697,0.82111,0.000185408,0.000185408,0.000185408
124,3279.88,0.41653,0.30956,0.97091,0.96124,0.92647,0.94951,0.92851,0.24398,0.30091,0.82758,0.000174115,0.000174115,0.000174115
125,3305.11,0.40427,0.30739,0.96517,0.96069,0.92647,0.95205,0.93185,0.23678,0.29266,0.82396,0.000163189,0.000163189,0.000163189
126,3330.37,0.40426,0.31181,0.96677,0.96182,0.92614,0.94883,0.92869,0.23668,0.30385,0.82454,0.000152635,0.000152635,0.000152635
127,3355.66,0.39975,0.30264,0.96302,0.96109,0.92647,0.9503,0.92801,0.2302,0.29891,0.82362,0.000142456,0.000142456,0.000142456
128,3380.92,0.40843,0.31236,0.96381,0.96025,0.92647,0.94866,0.92897,0.22902,0.29236,0.82216,0.000132658,0.000132658,0.000132658
129,3406.03,0.39958,0.30168,0.96414,0.9616,0.93382,0.94923,0.92878,0.22874,0.28969,0.82219,0.000123245,0.000123245,0.000123245
130,3431.28,0.40295,0.30784,0.96705,0.96083,0.92647,0.95158,0.9333,0.23809,0.2963,0.82418,0.000114221,0.000114221,0.000114221
131,3456.8,0.39061,0.29879,0.95563,0.96092,0.92647,0.94908,0.92884,0.23375,0.29892,0.82387,0.00010559,0.00010559,0.00010559
132,3482.31,0.39792,0.29791,0.96694,0.96093,0.92647,0.94952,0.92893,0.22859,0.29414,0.82338,9.73555e-05,9.73555e-05,9.73555e-05
133,3507.84,0.39706,0.29734,0.95896,0.96085,0.92647,0.94798,0.92582,0.23037,0.30237,0.82468,8.95213e-05,8.95213e-05,8.95213e-05
134,3533.66,0.39425,0.29827,0.96816,0.96087,0.92647,0.94796,0.92264,0.23809,0.31622,0.82721,8.20908e-05,8.20908e-05,8.20908e-05
135,3559.38,0.39124,0.28988,0.9603,0.96208,0.93273,0.94649,0.92326,0.24007,0.30785,0.82621,7.50674e-05,7.50674e-05,7.50674e-05
136,3585.09,0.38686,0.2968,0.95654,0.96078,0.92647,0.9484,0.92508,0.24007,0.30886,0.82681,6.8454e-05,6.8454e-05,6.8454e-05
137,3610.77,0.38831,0.29922,0.95535,0.96067,0.92647,0.94679,0.92577,0.24338,0.30768,0.82776,6.22537e-05,6.22537e-05,6.22537e-05
138,3636.78,0.39119,0.29414,0.96077,0.96027,0.92647,0.94433,0.92469,0.24323,0.30774,0.82706,5.64691e-05,5.64691e-05,5.64691e-05
139,3662.81,0.39055,0.2985,0.96497,0.96022,0.92647,0.94499,0.92521,0.23688,0.29966,0.82815,5.11027e-05,5.11027e-05,5.11027e-05
140,3688.95,0.3886,0.29273,0.95479,0.96043,0.92647,0.94511,0.92846,0.24153,0.30313,0.8285,4.61569e-05,4.61569e-05,4.61569e-05
141,3732.49,0.37034,0.24848,0.9319,0.95658,0.91912,0.93788,0.91526,0.25615,0.32963,0.83578,4.16339e-05,4.16339e-05,4.16339e-05
142,3757.68,0.38662,0.24796,0.94285,0.95643,0.91912,0.93121,0.91019,0.25955,0.3184,0.83919,3.75356e-05,3.75356e-05,3.75356e-05
143,3782.9,0.3796,0.24647,0.92686,0.95852,0.91912,0.92846,0.90532,0.2607,0.30851,0.83907,3.38639e-05,3.38639e-05,3.38639e-05
144,3808.43,0.3642,0.24069,0.92665,0.95398,0.91912,0.93034,0.90715,0.26444,0.31664,0.83953,3.06204e-05,3.06204e-05,3.06204e-05
145,3833.83,0.35655,0.23666,0.91158,0.95251,0.91912,0.93191,0.90878,0.25985,0.31396,0.83862,2.78064e-05,2.78064e-05,2.78064e-05
146,3859.43,0.36411,0.23771,0.9184,0.96146,0.91709,0.93154,0.90713,0.25939,0.3181,0.84035,2.54233e-05,2.54233e-05,2.54233e-05
147,3885.11,0.35962,0.23295,0.91821,0.96099,0.91912,0.93195,0.90696,0.25936,0.31631,0.83825,2.34721e-05,2.34721e-05,2.34721e-05
148,3910.41,0.36551,0.23595,0.92229,0.96063,0.91912,0.93126,0.90726,0.25705,0.31477,0.83767,2.19535e-05,2.19535e-05,2.19535e-05
149,3935.79,0.36565,0.23908,0.91894,0.9525,0.91912,0.93148,0.90829,0.25704,0.31524,0.83649,2.08684e-05,2.08684e-05,2.08684e-05
150,3961.14,0.36519,0.24007,0.92291,0.96147,0.91742,0.93151,0.90645,0.26095,0.31688,0.83549,2.02171e-05,2.02171e-05,2.02171e-05
